Entity,Year,Total Real GDP,Real GDP per capita
United Kingdom,1513,3727823171,977.2053239
United Kingdom,1514,3721899820,972.805299
United Kingdom,1515,3824564810,996.7218995
United Kingdom,1516,3792071904,985.3698433
United Kingdom,1517,3804367225,985.6798129
United Kingdom,1518,3826137393,988.4272706
United Kingdom,1519,3792943407,976.9925415
United Kingdom,1520,3740682671,960.7192232
United Kingdom,1521,3830100112,980.8135706
United Kingdom,1522,3899176877,995.5888042
United Kingdom,1523,4000223048,1011.095826
United Kingdom,1524,4083491361,1021.740933
United Kingdom,1525,4085048591,1011.829693
United Kingdom,1526,4136415449,1014.227511
United Kingdom,1527,3864059349,937.8989839
United Kingdom,1528,3922967851,942.6013732
United Kingdom,1529,4007404676,953.1857949
United Kingdom,1530,4082102428,961.1679938
United Kingdom,1531,3968130560,924.9162244
United Kingdom,1532,4130931391,953.1592539
United Kingdom,1533,4134842989,944.4469129
United Kingdom,1534,4346454278,982.7763251
United Kingdom,1535,4071750704,911.3848234
United Kingdom,1536,4049386346,897.244631
United Kingdom,1537,4387610613,962.3892746
United Kingdom,1538,4178992299,907.392758
United Kingdom,1539,4534600755,974.6839974
United Kingdom,1540,4408822374,938.0984613
United Kingdom,1541,4283834006,908.13591
United Kingdom,1542,4477205755,936.7941672
United Kingdom,1543,4340807877,903.0169032
United Kingdom,1544,4613617336,949.3547634
United Kingdom,1545,4463829060,919.9174039
United Kingdom,1546,4524221657,933.3720959
United Kingdom,1547,4888128387,1007.764101
United Kingdom,1548,4727798189,961.0185651
United Kingdom,1549,4563684309,918.5489935
United Kingdom,1550,4558859660,905.5309238
United Kingdom,1551,4486847027,878.3384812
United Kingdom,1552,4304248190,836.5759202
United Kingdom,1553,5054951217,975.0993075
United Kingdom,1554,4627894040,884.9338242
United Kingdom,1555,4613000458,875.4834352
United Kingdom,1556,3795783548,708.97767
United Kingdom,1557,4150578036,777.0679605
United Kingdom,1558,5270160748,1009.098301
United Kingdom,1559,4831453138,954.6513817
United Kingdom,1560,4822409358,959.6660748
United Kingdom,1561,4926088598,973.6884417
United Kingdom,1562,4935336010,964.8198548
United Kingdom,1563,5411491340,1047.595952
United Kingdom,1564,5231933716,1009.201894
United Kingdom,1565,5283885820,1006.763727
United Kingdom,1566,5954363081,1125.822597
United Kingdom,1567,5622322472,1051.490012
United Kingdom,1568,5670823569,1046.223468
United Kingdom,1569,5663504411,1037.727237
United Kingdom,1570,5225898617,951.3094876
United Kingdom,1571,5247613001,951.2178738
United Kingdom,1572,5107699043,917.2302943
United Kingdom,1573,5869772317,1048.046437
United Kingdom,1574,5210664138,924.8004179
United Kingdom,1575,5841891525,1026.960715
United Kingdom,1576,6067790359,1055.954409
United Kingdom,1577,5192043037,892.6118552
United Kingdom,1578,5968326295,1015.262437
United Kingdom,1579,5914248475,996.7493257
United Kingdom,1580,5641621285,939.7771955
United Kingdom,1581,5481541870,905.7298338
United Kingdom,1582,4943167888,807.9186484
United Kingdom,1583,5640602504,909.4543099
United Kingdom,1584,5490427544,874.2629587
United Kingdom,1585,4837380108,764.2817893
United Kingdom,1586,4753690045,742.6794355
United Kingdom,1587,5288160041,822.1700281
United Kingdom,1588,5932421037,925.392136
United Kingdom,1589,5226925700,807.2027163
United Kingdom,1590,5591905992,852.8481943
