Entity,Year,CO2 intensity- (kgCO2/2011-$ PPP)- World Bank
Brunei,2003,0.152894842
Brunei,2004,0.165614989
Brunei,2005,0.165217774
Brunei,2006,0.15373637
Brunei,2007,0.265671501
Brunei,2008,0.293592469
Brunei,2009,0.257647305
Brunei,2010,0.262013594
Brunei,2011,0.298504432
Brunei,2012,0.294461677
Brunei,2013,0.242675358
Bulgaria,1990,0.934741282
Bulgaria,1991,0.783970607
Bulgaria,1992,0.791418733
Bulgaria,1993,1.004204412
Bulgaria,1994,0.78731906
Bulgaria,1995,0.816971324
Bulgaria,1996,0.784076704
Bulgaria,1997,0.723509937
Bulgaria,1998,0.663584694
Bulgaria,1999,0.631048809
Bulgaria,2000,0.594773522
Bulgaria,2001,0.60884191
Bulgaria,2002,0.551795711
Bulgaria,2003,0.556582989
Bulgaria,2004,0.516753206
Bulgaria,2005,0.493361112
Bulgaria,2006,0.472514182
Bulgaria,2007,0.468065853
Bulgaria,2008,0.430206378
Bulgaria,2009,0.377681073
Bulgaria,2010,0.390322586
Bulgaria,2011,0.428350964
Bulgaria,2012,0.389425481
Bulgaria,2013,0.340410246
Burkina Faso,1990,0.078372293
Burkina Faso,1991,0.077278074
Burkina Faso,1992,0.077549527
Burkina Faso,1993,0.074519259
Burkina Faso,1994,0.075702689
Burkina Faso,1995,0.069574884
Burkina Faso,1996,0.070734783
Burkina Faso,1997,0.075839657
Burkina Faso,1998,0.075493676
Burkina Faso,1999,0.076023201
Burkina Faso,2000,0.083426831
Burkina Faso,2001,0.07494532
Burkina Faso,2002,0.072347116
Burkina Faso,2003,0.072009434
Burkina Faso,2004,0.070563765
Burkina Faso,2005,0.066233313
Burkina Faso,2006,0.075330381
Burkina Faso,2007,0.08756779
Burkina Faso,2008,0.096408216
Burkina Faso,2009,0.094351002
Burkina Faso,2010,0.08832321
Burkina Faso,2011,0.093362333
Burkina Faso,2012,0.104283827
Burkina Faso,2013,0.114750055
Burundi,1990,0.049813194
Burundi,1991,0.054558951
Burundi,1992,0.049316598
Burundi,1993,0.055729639
Burundi,1994,0.059251316
Burundi,1995,0.062226299
Burundi,1996,0.066868676
Burundi,1997,0.064824971
Burundi,1998,0.059648592
Burundi,1999,0.05875076
Burundi,2000,0.060018249
Burundi,2001,0.041687566
Burundi,2002,0.041338292
Burundi,2003,0.0317486
Burundi,2004,0.037167635
Burundi,2005,0.028650308
Burundi,2006,0.033012072
Burundi,2007,0.031504328
Burundi,2008,0.030578425
Burundi,2009,0.029553388
Burundi,2010,0.031760955
Burundi,2011,0.034687794
Burundi,2012,0.038905345
Burundi,2013,0.038645732
Cambodia,1993,0.151853782
Cambodia,1994,0.14550003
Cambodia,1995,0.132011762
Cambodia,1996,0.130562783
Cambodia,1997,0.117729362
Cambodia,1998,0.142010505
Cambodia,1999,0.123319407
Cambodia,2000,0.118203576
Cambodia,2001,0.124633241
Cambodia,2002,0.114537294
Cambodia,2003,0.113799872
Cambodia,2004,0.105995603
Cambodia,2005,0.106223195
Cambodia,2006,0.103621617
Cambodia,2007,0.108616982
Cambodia,2008,0.11451676
Cambodia,2009,0.136590676
Cambodia,2010,0.13885879
Cambodia,2011,0.134718472
Cambodia,2012,0.131612939
Cambodia,2013,0.125086826
Cameroon,1990,0.052017846
Cameroon,1991,0.034568489
Cameroon,1992,0.121858088
Cameroon,1993,0.135937375
Cameroon,1994,0.130432646
Cameroon,1995,0.143190255
Cameroon,1996,0.143941263
Cameroon,1997,0.095511225
Cameroon,1998,0.090846165
Cameroon,1999,0.083807812
Cameroon,2000,0.089644463
Cameroon,2001,0.08549755
Cameroon,2002,0.082113928
Cameroon,2003,0.087655369
Cameroon,2004,0.088119717
Cameroon,2005,0.080472948
Cameroon,2006,0.081439866
Cameroon,2007,0.119169461
Cameroon,2008,0.110077498
Cameroon,2009,0.130989409
Cameroon,2010,0.127880777
Cameroon,2011,0.104466498
Cameroon,2012,0.106105975
Cameroon,2013,0.111764215
Canada,1990,0.50029531
Canada,1991,0.501293146
Canada,1992,0.513595202
Canada,1993,0.505488852
Canada,1994,0.495990865
Canada,1995,0.494417907
Canada,1996,0.498767776
Canada,1997,0.494134818
Canada,1998,0.486390525
Canada,1999,0.470734815
Canada,2000,0.464054556
Canada,2001,0.450386396
Canada,2002,0.430110168
Canada,2003,0.450033752
Canada,2004,0.435901816
Canada,2005,0.421928357
Canada,2006,0.400726256
Canada,2007,0.394897641
Canada,2008,0.389682212
Canada,2009,0.371637157
Canada,2010,0.355918136
Canada,2011,0.348400035
Canada,2012,0.331594198
Canada,2013,0.319643314
Cape Verde,1990,0.168309445
Cape Verde,1991,0.17236266
Cape Verde,1992,0.166877763
Cape Verde,1993,0.158803101
Cape Verde,1994,0.13768493
Cape Verde,1995,0.128330032
Cape Verde,1996,0.136207901
Cape Verde,1997,0.125722094
Cape Verde,1998,0.120115989
Cape Verde,1999,0.118042118
Cape Verde,2000,0.112078053
Cape Verde,2001,0.122529276
Cape Verde,2002,0.134797912
Cape Verde,2003,0.164683374
Cape Verde,2004,0.160119019
Cape Verde,2005,0.156422762
Cape Verde,2006,0.157186
Cape Verde,2007,0.144509196
Cape Verde,2008,0.105387241
Cape Verde,2009,0.11436786
Cape Verde,2010,0.164062325
Cape Verde,2011,0.174663507
Cape Verde,2012,0.160877188
Cape Verde,2013,0.143066399
Chad,1990,0.022174778
Chad,1991,0.009704709
Chad,1992,0.011350385
Chad,1993,0.015149079
Chad,1994,0.014264209
Chad,1995,0.01408998
Chad,1996,0.014277032
Chad,1997,0.014445021
Chad,1998,0.013506132
Chad,1999,0.014476347
Chad,2000,0.021243379
Chad,2001,0.018629013
Chad,2002,0.016805648
Chad,2003,0.033119618
Chad,2004,0.02454637
Chad,2005,0.022139005
Chad,2006,0.022400015
Chad,2007,0.02462155
Chad,2008,0.026357263
Chad,2009,0.02438085
Chad,2010,0.02259309
Chad,2011,0.023534994
Chad,2012,0.021762065
Chad,2013,0.023092528
Central African Republic,1990,0.072252599
Central African Republic,1991,0.075344934
Central African Republic,1992,0.084830871
Central African Republic,1993,0.087413418
Central African Republic,1994,0.087428487
Central African Republic,1995,0.08155639
Central African Republic,1996,0.084954655
Central African Republic,1997,0.084460549
Central African Republic,1998,0.081873006
Central African Republic,1999,0.083676725
Central African Republic,2000,0.087004828
Central African Republic,2001,0.076440861
Central African Republic,2002,0.073772835
Central African Republic,2003,0.07449017
Central African Republic,2004,0.070277137
Central African Republic,2005,0.069644617
Central African Republic,2006,0.070627698
Central African Republic,2007,0.068509731
Central African Republic,2008,0.067130777
Central African Republic,2009,0.066002634
Central African Republic,2010,0.066836063
Central African Republic,2011,0.068294953
Central African Republic,2012,0.069049556
Central African Republic,2013,0.110446481
Cayman Islands,2011,0.21039904
Colombia,1990,0.222077614
Colombia,1991,0.216313676
Colombia,1992,0.223718421
Colombia,1993,0.225497034
Colombia,1994,0.224876183
Colombia,1995,0.188583386
