Entity,Year,UDel_temp_popweight,UDel_max,UDel_min,UDel_var,UDel_mean,UDel_mean_2,UDel_prcp_max,UDel_prcp_min,UDel_prcp_var,UDel_prcp_mean,UDel_prcp_mean_2,UDel_precip_popweight
Panama,1972,25.2100000000,25.9426703400,23.7368595800,0.3161665970,25.1930465600,634.6895949000,37.6282308600,3.6439149070,120.3561194000,21.6226603800,467.5394420000,2629.7300000000
Panama,1973,25.1100000000,26.4375834300,24.2729003100,0.5286721410,25.2576697200,637.9498798000,46.2354854700,2.3760089700,244.5138940000,24.7064033100,610.4063648000,2955.4000000000
Panama,1974,24.9700000000,25.8809711200,24.5660238100,0.1580086110,24.9865655800,624.3284594000,52.9253718000,3.3885417310,258.9638443000,23.4928689000,551.9148892000,2799.4500000000
Panama,1975,24.8600000000,26.2612956400,23.6550208900,0.6265902370,24.7922734500,614.6568226000,51.4299913100,3.3858264890,294.7677486000,26.0706153000,679.6769821000,3141.4900000000
Panama,1976,25.1700000000,25.6566424900,24.3142046900,0.1809063710,25.1009055300,630.0554584000,44.1372186100,1.7818429310,167.1063680000,17.8923157000,320.1349609000,2136.1200000000
Panama,1977,25.3500000000,26.1964403100,24.8736786300,0.1506514290,25.2865766100,639.4109567000,43.8337397300,2.3977291060,243.2357425000,21.9982663900,483.9237242000,2666.1200000000
Panama,1978,24.9600000000,25.4145103100,24.5986384600,0.0795192690,24.9381224800,621.9099530000,49.6699190700,4.1591205570,175.3815855000,22.9902859500,528.5532480000,2781.0000000000
Panama,1979,25.5600000000,26.1026778000,24.7112550700,0.1958944150,25.3654710400,643.4071209000,51.6643495200,2.8273226110,232.0975187000,25.0316765700,626.5848320000,3018.3200000000
Panama,1980,25.4700000000,25.8563339200,24.7137188400,0.1746665530,25.3382747700,642.0281684000,39.1353293400,1.7537382750,202.1805349000,23.7298933900,563.1078405000,2831.0700000000
Panama,1981,25.0000000000,25.9392673200,24.4251596300,0.2873293060,25.0077286100,625.3864903000,49.5668460000,5.4311001620,212.7738784000,29.8435876700,890.6397248000,2850.9600000000
Panama,1982,25.4300000000,25.9527744000,24.5821249400,0.1927058010,25.3968320800,644.9990795000,35.2589903000,3.0554786960,131.6511978000,19.9534712400,398.1410144000,2330.6300000000
Panama,1983,25.9000000000,27.0047393600,24.6839479800,0.6950007630,25.8832759300,669.9439727000,34.1157035800,2.4238605740,154.8353482000,19.7792582300,391.2190561000,2472.7600000000
Panama,1984,24.8800000000,25.9573481500,24.1719395400,0.3882570890,24.8875553800,619.3904130000,44.1382081900,4.3278311760,238.6665143000,23.9026438400,571.3363826000,2861.7800000000
Panama,1985,24.8400000000,25.7522599700,24.3271647000,0.2856241520,24.8739230100,618.7120460000,40.3240872700,3.0309714620,152.0739541000,20.5295006400,421.4603965000,2249.6100000000
Panama,1986,25.1100000000,25.8292455000,24.2277258400,0.1965174960,25.1091552400,630.4696770000,61.1452148800,5.0624232340,239.4660114000,22.8333886000,521.3636349000,2637.2000000000
Panama,1987,25.7800000000,26.6037019700,24.8018030500,0.2918047780,25.7170075100,661.3644752000,47.6834189500,1.9874428210,191.3536543000,22.1484484600,490.5537691000,2733.3900000000
Panama,1988,25.2600000000,26.8321479700,24.2971779700,0.7009357350,25.2262587600,636.3641311000,55.4260627400,2.4040507610,324.2505339000,26.3304128500,693.2906409000,3102.5200000000
Panama,1989,25.1400000000,26.6390993200,24.5377891300,0.3477479460,25.1393212500,631.9854727000,47.4852327700,3.0660997150,217.6547392000,22.7920307700,519.4766667000,2688.0000000000
Panama,1990,25.5700000000,26.6668826400,24.6836394500,0.3107815380,25.5265422000,651.6043566000,48.2403218500,3.4387363090,177.3970581000,22.7426257400,517.2270255000,2713.2500000000
Panama,1991,25.4200000000,26.5057870600,24.7551114100,0.3717763950,25.4635638900,648.3930862000,40.6363790300,3.8383507360,204.7615020000,21.9215362300,480.5537508000,2712.2700000000
Panama,1992,25.5300000000,26.8264426800,24.6037272300,0.5739898710,25.5238108600,651.4649206000,37.2216569400,2.0445188600,169.4329691000,20.2189237800,408.8048788000,2208.5800000000
Panama,1993,25.4300000000,26.5490919000,24.7559872400,0.2453930960,25.4432297600,647.3579408000,37.2180547100,2.6159303750,148.1074650000,22.4244014000,502.8537779000,2644.8500000000
Panama,1994,25.4500000000,26.5107268400,24.7189855100,0.2432046370,25.4549451200,647.9542312000,45.0868364400,3.7184445620,249.6255224000,22.7066151400,515.5903710000,2760.2500000000
Panama,1995,25.3500000000,26.0059394100,24.8103749800,0.2376963820,25.3497985000,642.6122842000,47.1796772200,3.5458972350,282.4430251000,27.4666177500,754.4150904000,3336.0800000000
Panama,1996,25.1400000000,26.1440926900,24.4542244400,0.2806475480,25.1230227800,631.1662734000,39.6237168100,3.6296728390,130.0179594000,22.5592515800,508.9198317000,2736.2600000000
Panama,1997,26.1200000000,27.1185925200,24.6415850600,0.4729635630,26.1630119100,684.5031921000,38.6657784600,1.9864499490,168.2297560000,19.6718496200,386.9816675000,2401.5800000000
